date,count,package,cum_count
2021-06-03,12,mikropml,2628
2021-06-04,2,mikropml,2630
2021-06-05,7,mikropml,2637
2021-06-06,16,mikropml,2653
2021-06-07,3,mikropml,2656
2021-06-08,12,mikropml,2668
2021-06-09,18,mikropml,2686
2021-06-10,7,mikropml,2693
2021-06-11,11,mikropml,2704
2021-06-12,10,mikropml,2714
2021-06-13,8,mikropml,2722
2021-06-14,7,mikropml,2729
2021-06-15,17,mikropml,2746
2021-06-16,19,mikropml,2765
2021-06-17,11,mikropml,2776
2021-06-18,10,mikropml,2786
2021-06-19,5,mikropml,2791
2021-06-20,16,mikropml,2807
2021-06-21,16,mikropml,2823
2021-06-22,19,mikropml,2842
2021-06-23,14,mikropml,2856
2021-06-24,17,mikropml,2873
2021-06-25,6,mikropml,2879
2021-06-26,9,mikropml,2888
2021-06-27,7,mikropml,2895
2021-06-28,27,mikropml,2922
2021-06-29,9,mikropml,2931
2021-06-30,19,mikropml,2950
2021-07-01,15,mikropml,2965
2021-07-02,11,mikropml,2976
2021-07-03,13,mikropml,2989
2021-07-04,12,mikropml,3001
2021-07-05,19,mikropml,3020
2021-07-06,12,mikropml,3032
2021-07-07,19,mikropml,3051
2021-07-08,20,mikropml,3071
2021-07-09,10,mikropml,3081
2021-07-10,13,mikropml,3094
2021-07-11,9,mikropml,3103
2021-07-12,19,mikropml,3122
2021-07-13,13,mikropml,3135
2021-07-14,14,mikropml,3149
2021-07-15,9,mikropml,3158
2021-07-16,8,mikropml,3166
2021-07-17,14,mikropml,3180
2021-07-18,8,mikropml,3188
2021-07-19,4,mikropml,3192
2021-07-20,22,mikropml,3214
2021-07-21,15,mikropml,3229
2021-07-22,15,mikropml,3244
2021-07-23,6,mikropml,3250
2021-07-24,7,mikropml,3257
2021-07-25,7,mikropml,3264
2021-07-26,17,mikropml,3281
2021-07-27,9,mikropml,3290
2021-07-28,19,mikropml,3309
2021-07-29,7,mikropml,3316
2021-07-30,10,mikropml,3326
2021-07-31,2,mikropml,3328
2021-08-01,12,mikropml,3340
2021-08-02,5,mikropml,3345
2021-08-03,35,mikropml,3380
2021-08-04,106,mikropml,3486
2021-08-05,14,mikropml,3500
2021-08-06,10,mikropml,3510
2021-08-07,12,mikropml,3522
2021-08-08,6,mikropml,3528
2021-08-09,19,mikropml,3547
2021-08-10,18,mikropml,3565
2021-08-11,35,mikropml,3600
2021-08-12,21,mikropml,3621
2021-08-13,33,mikropml,3654
2021-08-14,3,mikropml,3657
2021-08-15,34,mikropml,3691
2021-08-16,14,mikropml,3705
2021-08-17,7,mikropml,3712
2021-08-18,17,mikropml,3729
2021-08-19,43,mikropml,3772
2021-08-20,13,mikropml,3785
2021-08-21,7,mikropml,3792
2021-08-22,9,mikropml,3801
2021-08-23,34,mikropml,3835
2021-08-24,10,mikropml,3845
2021-08-25,44,mikropml,3889
2021-08-26,10,mikropml,3899
2021-08-27,9,mikropml,3908
2021-08-28,35,mikropml,3943
2021-08-29,4,mikropml,3947
2021-08-30,8,mikropml,3955
2021-08-31,21,mikropml,3976
2021-09-01,21,mikropml,3997
2021-09-02,2,mikropml,3999
2021-09-03,20,mikropml,4019
2021-09-04,3,mikropml,4022
2021-09-05,2,mikropml,4024
2021-09-06,18,mikropml,4042
2021-09-07,11,mikropml,4053
2021-09-08,19,mikropml,4072
2021-09-09,10,mikropml,4082
2021-09-10,16,mikropml,4098
2021-09-11,4,mikropml,4102
2021-09-12,15,mikropml,4117
2021-09-13,7,mikropml,4124
2021-09-14,31,mikropml,4155
2021-09-15,24,mikropml,4179
2021-09-16,28,mikropml,4207
2021-09-17,9,mikropml,4216
2021-09-18,42,mikropml,4258
2021-09-19,5,mikropml,4263
2021-09-20,27,mikropml,4290
2021-09-21,7,mikropml,4297
2021-09-22,32,mikropml,4329
2021-09-23,7,mikropml,4336
2021-09-24,29,mikropml,4365
2021-09-25,5,mikropml,4370
2021-09-26,18,mikropml,4388
2021-09-27,24,mikropml,4412
2021-09-28,33,mikropml,4445
2021-09-29,21,mikropml,4466
2021-09-30,26,mikropml,4492
2021-10-01,14,mikropml,4506
2021-10-02,17,mikropml,4523
2021-10-03,6,mikropml,4529
2021-10-04,39,mikropml,4568
2021-10-05,29,mikropml,4597
2021-10-06,24,mikropml,4621
2021-10-07,12,mikropml,4633
2021-10-08,13,mikropml,4646
2021-10-09,15,mikropml,4661
2021-10-10,7,mikropml,4668
2021-10-11,21,mikropml,4689
2021-10-12,7,mikropml,4696
2021-10-13,22,mikropml,4718
2021-10-14,7,mikropml,4725
2021-10-15,13,mikropml,4738
2021-10-16,4,mikropml,4742
2021-10-17,17,mikropml,4759
2021-10-18,12,mikropml,4771
2021-10-19,14,mikropml,4785
2021-10-20,16,mikropml,4801
2021-10-21,13,mikropml,4814
2021-10-22,6,mikropml,4820
2021-10-23,16,mikropml,4836
2021-10-24,9,mikropml,4845
2021-10-25,28,mikropml,4873
2021-10-26,48,mikropml,4921
2021-10-27,84,mikropml,5005
2021-10-28,17,mikropml,5022
2021-10-29,20,mikropml,5042
2021-10-30,3,mikropml,5045
2021-10-31,16,mikropml,5061
2021-11-01,30,mikropml,5091
2021-11-02,32,mikropml,5123
2021-11-03,25,mikropml,5148
2021-11-04,29,mikropml,5177
2021-11-05,18,mikropml,5195
2021-11-06,24,mikropml,5219
2021-11-07,29,mikropml,5248
2021-11-08,75,mikropml,5323
2021-11-09,47,mikropml,5370
2021-11-10,98,mikropml,5468
2021-11-11,62,mikropml,5530
2021-11-12,35,mikropml,5565
2021-11-13,35,mikropml,5600
2021-11-14,13,mikropml,5613
2021-11-15,23,mikropml,5636
2021-11-16,18,mikropml,5654
2021-11-17,33,mikropml,5687
2021-11-18,12,mikropml,5699
2021-11-19,34,mikropml,5733
2021-11-20,6,mikropml,5739
2021-11-21,47,mikropml,5786
2021-11-22,12,mikropml,5798
2021-11-23,31,mikropml,5829
2021-11-24,22,mikropml,5851
2021-11-25,29,mikropml,5880
2021-11-26,8,mikropml,5888
2021-11-27,19,mikropml,5907
2021-11-28,5,mikropml,5912
2021-11-29,28,mikropml,5940
2021-11-30,13,mikropml,5953
2021-12-01,27,mikropml,5980
2021-12-02,20,mikropml,6000
2021-12-03,18,mikropml,6018
2021-12-04,5,mikropml,6023
2021-12-05,4,mikropml,6027
2021-12-06,20,mikropml,6047
2021-12-07,10,mikropml,6057
2021-12-08,23,mikropml,6080
2021-12-09,22,mikropml,6102
2021-12-10,14,mikropml,6116
2021-12-11,12,mikropml,6128
2021-12-12,6,mikropml,6134
2021-12-13,14,mikropml,6148
2021-12-14,14,mikropml,6162
2021-12-15,30,mikropml,6192
2021-12-16,10,mikropml,6202
2021-12-17,16,mikropml,6218
2021-12-18,4,mikropml,6222
2021-12-19,14,mikropml,6236
2021-12-20,8,mikropml,6244
2021-12-21,20,mikropml,6264
2021-12-22,15,mikropml,6279
2021-12-23,16,mikropml,6295
2021-12-24,13,mikropml,6308
2021-12-25,3,mikropml,6311
2021-12-26,10,mikropml,6321
2021-12-27,8,mikropml,6329
2021-12-28,13,mikropml,6342
2021-12-29,17,mikropml,6359
2021-12-30,13,mikropml,6372
2021-12-31,10,mikropml,6382
2022-01-01,5,mikropml,6387
2022-01-02,4,mikropml,6391
2022-01-03,1,mikropml,6392
2022-01-04,11,mikropml,6403
2022-01-05,18,mikropml,6421
2022-01-06,8,mikropml,6429
2022-01-07,6,mikropml,6435
2022-01-08,2,mikropml,6437
2022-01-09,9,mikropml,6446
2022-01-10,4,mikropml,6450
2022-01-11,18,mikropml,6468
2022-01-12,15,mikropml,6483
2022-01-13,20,mikropml,6503
2022-01-14,13,mikropml,6516
2022-01-15,14,mikropml,6530
2022-01-16,3,mikropml,6533
2022-01-17,5,mikropml,6538
2022-01-18,9,mikropml,6547
2022-01-19,13,mikropml,6560
2022-01-20,14,mikropml,6574
2022-01-21,4,mikropml,6578
2022-01-22,13,mikropml,6591
2022-01-23,5,mikropml,6596
2022-01-24,26,mikropml,6622
2022-01-25,11,mikropml,6633
2022-01-26,7,mikropml,6640
2022-01-27,9,mikropml,6649
2022-01-28,9,mikropml,6658
2022-01-29,4,mikropml,6662
2022-01-30,19,mikropml,6681
2022-01-31,29,mikropml,6710
2022-02-01,25,mikropml,6735
2022-02-02,9,mikropml,6744
2022-02-03,11,mikropml,6755
2022-02-04,25,mikropml,6780
2022-02-05,11,mikropml,6791
2022-02-06,54,mikropml,6845
2022-02-07,16,mikropml,6861
2022-02-08,73,mikropml,6934
2022-02-09,32,mikropml,6966
2022-02-10,28,mikropml,6994
2022-02-11,15,mikropml,7009
2022-02-12,24,mikropml,7033
2022-02-13,5,mikropml,7038
2022-02-14,31,mikropml,7069
2022-02-15,6,mikropml,7075
2022-02-16,43,mikropml,7118
2022-02-17,8,mikropml,7126
2022-02-18,19,mikropml,7145
2022-02-19,1,mikropml,7146
2022-02-20,2,mikropml,7148
2022-02-21,13,mikropml,7161
2022-02-22,2,mikropml,7163
